date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-10-22,0,0,0,0,0.0,0.0,0
2015-10-23,0,0,0,0,0.0,0.0,0
2015-10-28,0,0,0,0,0.0,0.0,0
2015-11-18,0,0,0,0,0.0,0.0,0
2015-12-10,0,0,0,0,0.0,0.0,0
2016-01-04,0,0,0,0,0.0,0.0,0
2016-01-11,0,0,0,0,0.0,0.0,0
2016-01-28,0,0,0,0,0.0,0.0,0
2016-03-07,0,0,0,0,0.0,0.0,0
2016-03-18,0,0,0,0,0.0,0.0,0
2016-03-23,0,0,0,0,0.0,0.0,0
2016-04-26,0,0,0,0,0.0,0.0,0
2016-05-10,0,0,0,0,0.0,0.0,0
2016-05-26,0,0,0,0,0.0,0.0,0
2016-06-06,0,0,0,0,0.0,0.625,0
2016-06-07,0,0,0,0,0.0,0.0,0
2016-07-01,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-07-29,0,0,0,0,0.0,0.0,0
2016-08-17,0,0,0,0,0.25,0.333333333333,0
2016-08-19,0,0,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-09-19,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-27,0,0,0,0,0.1,0.383333333333,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-12-16,0,0,0,0,0.136363636364,0.454545454545,0
2016-12-29,0,0,0,0,0.5,0.5,0
2017-01-10,0,0,0,0,0.0,0.0,0
2017-01-25,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,0.0,0.0,0
2017-02-27,0,0,0,0,0.35,0.4,0
2017-03-29,0,0,0,0,0.0,0.0,0
2017-05-03,0,0,0,0,0.0,0.0,0
2017-05-23,0,0,0,0,0.0,0.0,0
2017-05-25,0,0,0,0,0.0,0.0,0
2017-05-30,0,0,0,0,0.0,0.0,0
2017-06-08,0,0,0,0,0.0,0.0,0
2017-06-21,0,0,0,0,0.0,0.0,0
2017-07-27,0,0,0,0,0.0,0.0,3
2017-09-07,0,0,0,0,0.0,0.0,0
2017-09-11,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-15,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,0.0,0.0,0
2017-10-02,0,3,0,0,0.55,1.1,0
2017-10-03,0,0,0,0,0.3,0.2,0
2017-10-05,0,1,1,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,1,0,0.1,0.0,0
2017-10-10,0,0,0,0,0.569696969697,2.83787878788,0
2017-10-11,0,0,0,0,0.436363636364,0.654545454545,0
2017-10-12,0,0,0,0,1.13571428571,3.18571428571,0
2017-10-13,0,0,0,0,0.85,2.05,0
2017-10-14,0,1,0,0,0.872727272727,1.90909090909,0
2017-10-15,0,0,0,0,0.268181818182,1.10227272727,0
2017-10-16,0,0,0,0,3.42727272727,6.94924242424,0
